SBA Loan Number,Maturity Date,Net Rate,Originator Rate,Outstanding Balance,Pool Number,holder
4994059103,07/20/2033,8.95000,1.15500,"$119,373.95",530500,"BMO CAPITAL MARKETS CORP., "
5004809110,07/31/2033,8.95000,1.15500,"$104,370.54",530500,"BMO CAPITAL MARKETS CORP., "
5039189103,07/17/2033,8.95000,1.15500,"$119,373.96",530500,"BMO CAPITAL MARKETS CORP., "
5047759108,07/27/2033,8.95000,1.15500,"$119,373.96",530500,"BMO CAPITAL MARKETS CORP., "
5056279108,07/05/2033,8.95000,1.15500,"$113,455.49",530500,"BMO CAPITAL MARKETS CORP., "
5057609102,07/28/2033,8.95000,1.15500,"$119,373.95",530500,"BMO CAPITAL MARKETS CORP., "
5061909101,07/24/2033,8.95000,1.15500,"$122,608.85",530500,"BMO CAPITAL MARKETS CORP., "
5068009105,07/11/2033,8.95000,1.15500,"$119,396.51",530500,"BMO CAPITAL MARKETS CORP., "
5075939100,07/27/2033,8.95000,1.15500,"$119,373.96",530500,"BMO CAPITAL MARKETS CORP., "
5085209108,07/18/2033,8.95000,1.15500,"$119,373.95",530500,"BMO CAPITAL MARKETS CORP., "
5099739104,07/10/2033,8.95000,1.15500,"$119,413.14",530500,"BMO CAPITAL MARKETS CORP., "
5109039100,07/26/2033,8.95000,1.15500,"$119,378.60",530500,"BMO CAPITAL MARKETS CORP., "
5125039100,07/28/2033,8.95000,1.15500,"$120,934.79",530500,"BMO CAPITAL MARKETS CORP., "
5139809107,07/21/2033,8.95000,1.15500,"$119,378.61",530500,"BMO CAPITAL MARKETS CORP., "
5150309100,07/24/2033,8.95000,1.15500,"$119,378.60",530500,"BMO CAPITAL MARKETS CORP., "
5162979110,07/14/2033,8.95000,1.15500,"$80,160.65",530500,"BMO CAPITAL MARKETS CORP., "
5162999105,07/18/2033,8.95000,1.15500,"$119,378.59",530500,"BMO CAPITAL MARKETS CORP., "
5163119101,07/20/2033,8.95000,1.15500,"$119,378.59",530500,"BMO CAPITAL MARKETS CORP., "
5163459109,07/26/2033,8.95000,1.15500,"$119,378.60",530500,"BMO CAPITAL MARKETS CORP., "
5166099103,07/17/2033,8.95000,1.15500,"$119,378.60",530500,"BMO CAPITAL MARKETS CORP., "
5168119100,07/11/2033,8.95000,1.15500,"$119,413.16",530500,"BMO CAPITAL MARKETS CORP., "
5172549103,07/26/2033,8.95000,1.15500,"$119,378.60",530500,"BMO CAPITAL MARKETS CORP., "
5177119102,07/17/2033,8.95000,1.15500,"$119,378.60",530500,"BMO CAPITAL MARKETS CORP., "
5185539110,07/27/2033,8.95000,1.15500,"$119,378.59",530500,"BMO CAPITAL MARKETS CORP., "
5186899104,07/28/2033,8.95000,1.15500,"$119,378.60",530500,"BMO CAPITAL MARKETS CORP., "
5195249110,07/27/2033,8.95000,1.15500,"$119,378.59",530500,"BMO CAPITAL MARKETS CORP., "
5208329110,07/31/2033,8.95000,1.15500,"$119,378.60",530500,"BMO CAPITAL MARKETS CORP., "
5262099103,09/13/2033,8.95000,2.15500,"$122,038.39",530500,"BMO CAPITAL MARKETS CORP., "
5270989110,09/20/2033,8.95000,2.15500,"$121,747.03",530500,"BMO CAPITAL MARKETS CORP., "
5283139101,09/08/2033,8.95000,3.15500,"$120,831.04",530500,"BMO CAPITAL MARKETS CORP., "
5283209109,09/13/2033,8.95000,2.15500,"$122,038.39",530500,"BMO CAPITAL MARKETS CORP., "
5284819106,10/03/2033,8.95000,1.39500,"$70,475.72",530500,"BMO CAPITAL MARKETS CORP., "
5286179108,09/05/2033,8.95000,2.15500,"$72,341.02",530500,"BMO CAPITAL MARKETS CORP., "
5291209109,09/25/2033,8.95000,2.15500,"$121,536.71",530500,"BMO CAPITAL MARKETS CORP., "
5294989104,09/21/2033,8.95000,2.15500,"$121,704.98",530500,"BMO CAPITAL MARKETS CORP., "
5295669104,08/31/2033,8.95000,2.15500,"$63,084.95",530500,"BMO CAPITAL MARKETS CORP., "
5298989101,09/22/2033,8.95000,3.15500,"$121,958.67",530500,"BMO CAPITAL MARKETS CORP., "
5301879105,09/08/2033,8.95000,3.15500,"$120,692.61",530500,"BMO CAPITAL MARKETS CORP., "
5302179109,09/13/2033,8.95000,2.15500,"$121,996.81",530500,"BMO CAPITAL MARKETS CORP., "
5307029109,09/11/2033,8.95000,3.15500,"$122,501.71",530500,"BMO CAPITAL MARKETS CORP., "
5311079105,09/06/2033,8.95000,2.15500,"$120,301.05",530500,"BMO CAPITAL MARKETS CORP., "
