Prepayment Date,Prepayment Type,Prepayment Amount,Number of Loans,Amount Not Applied,Prepayment Status,Reversed Date,Reversed Amount,Number of Reversed Loans,Pool Number,holder
4/25/2024,Prepayment,"$235,167.25 ",2,$0.00 ,,,$0.00 ,0,530508,"BREAN CAPITAL, LLC, "
4/25/2024,Principal Reduction,"$121,183.87 ",0,$0.00 ,,,$0.00 ,0,530508,"BREAN CAPITAL, LLC, "
5/25/2024,Prepayment,"$168,650.88 ",2,$0.00 ,,,$0.00 ,0,530508,"BREAN CAPITAL, LLC, "
5/25/2024,Principal Reduction,"$52,500.00 ",0,$0.00 ,,,$0.00 ,0,530508,"BREAN CAPITAL, LLC, "
6/25/2024,Prepayment,"$149,618.20 ",1,$0.00 ,,,$0.00 ,0,530508,"BREAN CAPITAL, LLC, "
7/25/2024,Prepayment,"$463,582.12 ",3,$0.00 ,,,$0.00 ,0,530508,"BREAN CAPITAL, LLC, "
7/25/2024,Principal Reduction,"$21,768.72 ",0,$0.00 ,,,$0.00 ,0,530508,"BREAN CAPITAL, LLC, "
8/25/2024,Prepayment,"$361,329.26 ",3,$0.00 ,,,$0.00 ,0,530508,"BREAN CAPITAL, LLC, "
9/25/2024,Prepayment,"$679,900.36 ",5,$0.00 ,,,$0.00 ,0,530508,"BREAN CAPITAL, LLC, "
10/25/2024,Prepayment,"$988,827.99 ",8,$0.00 ,,,$0.00 ,0,530508,"BREAN CAPITAL, LLC, "
11/25/2024,Prepayment,"$863,598.97 ",2,$0.00 ,,,$0.00 ,0,530508,"BREAN CAPITAL, LLC, "
6/25/2024,Prepayment,"$124,577.29 ",1,$0.00 ,,,$0.00 ,0,530528,"BREAN CAPITAL, LLC, "
7/25/2024,Prepayment,"$209,090.46 ",2,$0.00 ,,,$0.00 ,0,530528,"BREAN CAPITAL, LLC, "
8/25/2024,Prepayment,"$353,723.09 ",2,$0.00 ,,,$0.00 ,0,530528,"BREAN CAPITAL, LLC, "
9/25/2024,Prepayment,"$366,968.82 ",3,$0.00 ,,,$0.00 ,0,530528,"BREAN CAPITAL, LLC, "
9/25/2024,Principal Reduction,"$25,115.01 ",0,$0.00 ,,,$0.00 ,0,530528,"BREAN CAPITAL, LLC, "
10/25/2024,Prepayment,"$537,421.53 ",3,$0.00 ,,,$0.00 ,0,530528,"BREAN CAPITAL, LLC, "
10/25/2024,Principal Reduction,"$24,911.58 ",0,$0.00 ,,,$0.00 ,0,530528,"BREAN CAPITAL, LLC, "
11/25/2024,Prepayment,"$120,939.62 ",1,$0.00 ,,,$0.00 ,0,530528,"BREAN CAPITAL, LLC, "
11/25/2024,Principal Reduction,"$4,447.57 ",0,$0.00 ,,,$0.00 ,0,530528,"BREAN CAPITAL, LLC, "
6/25/2024,Prepayment,"$257,644.72 ",1,$0.00 ,,,$0.00 ,0,530522,"BREAN CAPITAL, LLC, "
7/25/2024,Prepayment,"$592,993.19 ",1,$0.00 ,,,$0.00 ,0,530522,"BREAN CAPITAL, LLC, "
8/25/2024,Principal Reduction,"$138,093.79 ",0,$0.00 ,,,$0.00 ,0,530522,"BREAN CAPITAL, LLC, "
