Person Name,Role,Company Name,Classification,Interest Areas,url
Emile Ernandez,Managing Director,Kawa Capital Management,Investor,"Private Credit, ABS, ESG/PACE/Solar ABS, Direct Lending, Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDA4MTI=
"
Alex Knowland,Vice President,Comvest Credit Partners,Investor,Direct Lending,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI2NTM=
"
Nicholas Martucci,Senior Associate,Kawa Capital Management,Investor,"Commercial ABS (Equipment/Aircraft/Transportation), Private Credit, ABS, ESG/PACE/Solar ABS, Distressed Debt","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMTk=
"
Tim Kim,MD,Comvest Partners,Investor,Direct Lending,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI2NDM=
"
Efe Birkan,Whole Loan Trader,Santander,Investment Bank or Broker Dealer,Whole Loan/NPL/RPL,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzM3Mjg2OTE=
"
Joseph Lau,President & CIO,Lord Capital,Investor,"Commercial ABS (Equipment/Aircraft/Transportation), Private Credit, ABS, CMBS, Consumer ABS, ESG/PACE/Solar ABS, Direct Lending, Sustainable Finance","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDA3OTM=
"
John Mendell,Managing Director,Comvest Credit Partners,Investor,"CLOs/Leveraged Loans, Private Credit","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDIyODU=
"
Gabriel Schuch,Vice President,Raven Capital Management,Investor,"Commercial ABS (Equipment/Aircraft/Transportation), Private Credit, ABS, CMBS, Consumer ABS, ESG/PACE/Solar ABS, Direct Lending, Fintech/AI, Sustainable Finance, Risk Transfer, Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDA2NjQ=
"
Parla Ozgediz,Founder / Capital Markets Advisor,"7Mile Financing Solutions, LLC",Service Provider,"Commercial ABS (Equipment/Aircraft/Transportation), Private Credit, ABS, Consumer ABS, ESG/PACE/Solar ABS, Direct Lending, Distressed Debt, Corporate Funding/Investment, Emerging Markets, Fintech/AI, Sustainable Finance, Whole Loan/NPL/RPL, Hybrid Capital","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDM5NjA=
"
Alan Nowell,SVP - Whole Loan Trading,NexBank,Investor,Whole Loan/NPL/RPL,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzM5MzQ2NTk=
"
David Peskin,CEO,Hightechlending dba American Senior Lending,Issuer,"Private Credit, Direct Lending, Whole Loan/NPL/RPL, Hybrid Capital, FIG Funding/investment","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNjQ1MzM=
"
Pratik Mehta,Director,Sunlight Financial,Issuer,Consumer ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQyODU3NzI=
"
Casper Yonel,CEO & Co-Founder,Blu Financiero,Issuer,"Private Credit, ABS, Consumer ABS, Emerging Markets, Fintech/AI, FIG Funding/investment","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQxNTgzOTc=
"
Camilo Concha,CEO,LendingUSA,Issuer,"Consumer ABS, Direct Lending, Corporate Funding/Investment, Whole Loan/NPL/RPL, FIG Funding/investment","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQxMTA5OTQ=
"
Aidan McCartan,Corporate Intelligence Advisor,LatinNews,Other,"Corporate Funding/Investment, Emerging Markets, Regulation/policy, SSA Funding/Investment, FIG Funding/investment","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQwODgzNTY=
"
Debra Donan,"Principal, Account Executive",CoreLogic,Service Provider,"RMBS (GSE and PLS), Emerging Markets, Risk Transfer, Whole Loan/NPL/RPL","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQwNjg1NTY=
"
Irv Adu-Gyamfi,Producer,IMN,Other,,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQ0NjAxNjY=
"
Viravyne Chhim Bip,General Counsel & CCO,MGG Investment Group,Investor,"CLOs/Leveraged Loans, Private Credit","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQ0NTMzOTA=
"
"Craig Bain, CFA",Consultant,Sascon,Other,"CLOs/Leveraged Loans, Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQ0MTQ2MjA=
"
Ryo Yoshida,Executive Director,SMBC,Investment Bank or Broker Dealer,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzOTM0NDc=
"
Vita Anes,Associate,CGI Merchant Group,Investor,"CLOs/Leveraged Loans, CMBS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzM1NTE2MDY=
"
Raoul Thomas,Founder & CEO,CGI Merchant Group,Investor,"CLOs/Leveraged Loans, CMBS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzM1NTE2MDU=
"
Heidi Skor,Managing Director,Rothschild & Co,Issuer,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDE4MTk=
"
Kamil Homsi,Founder/CEO,GRC Investment Group,Investor,Whole Loan/NPL/RPL,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDA4Njc=
"
Jeff Farron,"Managing Director, Structured Finance",Assured Guaranty,Issuer,Commercial ABS (Equipment/Aircraft/Transportation),"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzM5ODM2MTc=
"
Sengal Selassie,CEO and Founder,"Brightwood Capital Advisors, LLC",Issuer,ESG/PACE/Solar ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDE1MDA=
"
Scott Rosen,Partner,Ares Management,Other,Direct Lending,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDAyMTM=
"
Anubhav Raj,CIO,Aligned Data Centers,Service Provider,Corporate Funding/Investment,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzM4MTEwNzY=
"
Andrew Deitz,Co Founder & Head of BD,Spring Free EV,Investor,"Private Credit, Fintech/AI, Sustainable Finance","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzODQzNjk=
"
Anne-Sofie Biltoft,Senior Associate Investment & Strategy,Irradiant Partners,Issuer,RMBS (GSE and PLS),"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzODQzNjY=
"
SUNDANCE BRENNAN,Head of Revenue,Nada Loans LLC,Issuer,"ESG/PACE/Solar ABS, Emerging Markets, Fintech/AI","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzODQzNTg=
"
Andy Pham,Associate Portfolio Manager,Nuveen,Investor,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzODQzNTU=
"
Randy Bertrand,Event Staff,York Street,Other,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzODMyNDQ=
"
Jeff Mullins,"Managing Director | Trader, RMBS & ABS Credit",Hilltop Securities,Investment Bank or Broker Dealer,"Commercial ABS (Equipment/Aircraft/Transportation), ABS, Direct Lending, Distressed Debt, Risk Transfer","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzODMyNDM=
"
Aleksandra Simanovsky,Founder,Adige Advisory,Service Provider,"Private Credit, ABS, CMBS, RMBS (GSE and PLS), Direct Lending","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzODM2NDI=
"
Donal Smith,Director Asset Securitization,ING,Investment Bank or Broker Dealer,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzODE2OTA=
"
Adrian Radulescu,Consultant,AMR,Other,CLOs/Leveraged Loans,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzODAzOTM=
"
Alex Bashan,Partner,Clear Haven Capital Management,Investor,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzODAzOTI=
"
Rickyk Schwartz,Portfolio Manager,Angel Oak Capital,Investor,"RMBS (GSE and PLS), Risk Transfer","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzODAzOTE=
"
Vikrant Manwatkar,Director,RBC (Barbados) Trading Bank Corp,Investor,"CLOs/Leveraged Loans, ABS, CMBS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNzkzNDc=
"
Matthew Hicks,Senior Portfolio Manager,RBC (Barbados) Trading Bank Corporation,Investor,"CLOs/Leveraged Loans, ABS, CMBS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNzkzNDY=
"
Petra Callaly,Sales Director,Invisso,Other,"CLOs/Leveraged Loans, Private Credit, ABS, CMBS, Direct Lending, Risk Transfer","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNzY1NzM=
"
Jin Fu,Director,KKR,Issuer,"Private Credit, RMBS (GSE and PLS)","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNzUyOTI=
"
Brandy Illausky,"Vice President, Business Development",Keybank,Service Provider,"ABS, CMBS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNzUyODk=
"
Charlie Willis,Executive Chairman,Willis Lease Finance Corporation,Issuer,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNzMzMTA=
"
Akhil Mago,Founder,Indago Capital,Investor,RMBS (GSE and PLS),"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzQzNzMzMDk=
"
